koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-882,b,3.99,0.05,1.23,5476,0.87,270.25
Kepler-884,b,5.70,0.06,1.23,5715,0.94,216.86
Kepler-886,b,6.24,0.07,1.52,6098,1.16,355.87
Kepler-887,b,20.42,0.15,1.84,6194,1.29,91.52
Kepler-887,c,7.64,0.08,1.13,6194,1.29,339.60
Kepler-888,b,70.70,0.33,1.76,5875,0.90,7.89
Kepler-889,b,3.74,0.05,1.09,5961,1.25,728.20
Kepler-304,e,1.50,0.02,1.20,4731,0.69,377.80
Kepler-895,b,2.81,0.03,1.54,4315,0.61,101.72
Kepler-231,c,19.27,0.11,1.93,3767,0.49,3.34
Kepler-236,b,8.30,0.06,1.57,3750,0.51,10.92
Kepler-237,b,4.72,0.05,1.41,4861,0.72,103.88
K2-5,b,5.74,0.05,1.91,3930,0.57,24.57
Kepler-140,c,91.35,0.41,1.80,6077,1.29,11.88
Kepler-141,b,3.11,0.04,0.69,4910,0.79,213.97
Kepler-141,c,7.01,0.07,1.41,4910,0.79,72.50
Kepler-144,b,5.89,0.07,1.33,6075,1.24,431.36
Kepler-144,c,10.10,0.09,1.35,6075,1.24,212.65
Kepler-147,b,12.61,0.11,1.53,6012,1.47,198.36
Kepler-148,b,1.73,0.03,1.80,5272,0.85,638.74
Kepler-149,c,55.33,0.28,1.61,5381,0.95,8.60
Kepler-150,b,3.43,0.04,1.25,5560,0.94,391.33
Kepler-898,b,5.87,0.06,1.49,4223,0.62,36.03
Kepler-901,b,3.52,0.04,1.37,4184,0.57,61.97
Kepler-904,b,3.02,0.04,1.77,6160,1.25,1092.57
Kepler-905,b,5.08,0.06,1.41,5461,0.86,182.42
Kepler-907,b,15.87,0.13,1.20,6106,1.38,147.73
Kepler-908,b,1.34,0.02,1.22,5973,1.12,2359.75
Kepler-909,b,13.93,0.12,1.47,6154,1.23,136.52
Kepler-910,b,2.36,0.04,0.82,6230,1.50,2160.43
Kepler-914,b,4.41,0.05,1.38,5877,1.15,479.54
